Người tạo ra server này là ai?|Cả hai|Pret|Công
G-M chính của server là ai?|Pret|Thi|Không biết
G-M dễ thương nhất server là G-M nào?|Pret|Thi|Không biết
Chức năng Song Tu tốn bao nhiêu KNB?|150KNB|250KNB|100KNB
Event Cứu Nhân Độ Thế bao nhiêu lv mới được tham gia?|20|10|15
Sơn Đại Vương xuất hiện lúc mấy giờ vậy?|8h tối và 10h sáng|9h30 và 8h sáng|7h và 10h tối
Khi có người lợi dụng bug server, bạn phải làm sao?|Báo cáo cho G-M ngay|Bug theo chứ sao|Không quan tâm
Tống Bảo Tiểu Yêu cách mấy phút ra 1 lần?|30p|20p|1h
Trộm bảo phi tặc có từ thứ mấy đến thứ mấy?|Từ thứ 2 đến thứ 5|Cả tuần|Từ thứ 3 đến thứ 7
Bạn có thích CQ Tâm Diện hay không?|Có chứ|Không|Không Quan Tâm
Nick facebook của G-M Pret là gì?|Lưu Đức Thành Công|Pret Ẹp Zai|Pret Huyền Thoại
Pret hiện tại đang làm nghề gì?|Sinh Viên|Học Sinh|Không Biết
Hoạt động chính của CQ Tâm Diện diễn ra ở đâu|Facebook|Diễn Đàn|Twitter
Chiến Quốc Tâm Diện có 1 chức năng giúp người chơi rảnh tay 1 chút đó là gì?|Song Tu|Auto|Không Có
Nạp 20k được bao nhiêu điểm tích lũy?|2 điểm|1 điểm|3 điểm
Nạp 50k được bao nhiêu KNB?|320 KNB|400 KNB|450 KNB
Bao nhiêu Tích Lũy Nạp Thẻ thì được Cao Cấp Đoạn Thạch|18 điểm|19 điểm|20 điểm
Chiến Quốc Tâm Diện có thuộc tính mới đó là gì?|Ngũ Hành|Khảm Nam|Cường Hóa
Các Chiến Quốc Private hiện này có 1 lỗi rất thân thuộc, đó là?|Cả 2 đáp án|Hay Bị Văng|Kẹt Acc
Các bạn có thể tìm sử dụng chức năng gì để lấy vợ hoặc chồng?|Kết Hôn|Kiss|Xếp Hình
Khi bị lỗi tài khoản thì phải làm sao?|Báo ngay cho G-M|Tự xử cho rồi|Cày lại acc khác
Event nào giúp người chơi dễ kiếm KNB nhất?|Phỉ Tặc|Sư Môn|Sư Gia
Các NPC chính của Chiến Quốc Tâm Diện tập trung ở đâu?|Chu Quốc|Tân Thủ Thôn|Ngụy Quốc
Muốn làm đẹp cho tóc mình thì làm ở đâu?|Ảo Diện Thân|Đi làm đẹp|Ai mà biết được
Các bạn có thể xem hướng dẫn, thông báo, event ở trang web nào của CQ Tâm Diện?|chienquoctamdien.forumvi.com|chienquoc2.com|chienquocpro.us.to
Khi nạp tới mốc nào thì bạn bắt đầu nhận được túi quà?|200k|100k|300k
Nếu bị PK rớt đồ hay vô tình đưa đồ cho người khác thì G-M có giải quyết không?|Không|Có|Không quan tâm
Cách đăng kí tài khoản trong CQ Tâm Diện?|Đăng nhập là vào|Thông qua G-M|Không biết đăng kí
Đi áp tiêu gặp cướp thì phải làm sao?|Thông nó|Chạy|Để nó cướp
Vật phẩm Sổ xố có thể tìm được từ đâu?|Thành Kiều|Cổ Mộ|Không biết
Tử Sâm Đơn có thể tìm ở đâu?|Cổ Mộ|Train quái|Thành Kiều
Cày ngân lượng nhanh nhất bằng cách nào?|Áp Tiêu|Làm nhiệm vụ linh tinh|Không biết
Tư thế chạy bộ là tổ hợp phím nào?|Alt+7|Alt+6|Alt+8
Trong CQ Tâm Diện, ngoài Phong Yêu Kính ta có thể tìm Vũ Khí Nguyên Liệu tử kim từ đâu?|Chiến Trường|Train Quái|Làm Nhiệm Vụ
Card các bạn nạp vào CQ Tâm Diện thường dùng để làm gì?|Cả Hai|Để nâng cấp sv|Duy trì sv hết số tiền đó
Để chụp hình trong Chiến Quốc chúng ta cần bấm phím gì?|Print Screen|Scroll Lock|Pause
CQ Tâm Diện chủ yếu cày exp bằng cách?|Train Quái|Cả Hai|Nhiệm Vụ
Hồi phục 200 điểm khí huyết là dược vật gì?|Hành Quân Tán|Hoạt Lạc Hoàn|An Thần Hoàn
Người chơi phải làm gì khi có ý kiến đóng góp?|Post lên diễn đàn|Nói cho Pret|Ko nói ra
Để nạp card, chúng ta cần pm bằng cách nào?|Pm facebook G-M|Pm thư diễn đàn|Cả Hai
G-M nhận nạp card là những G-M nào?|Pret|Thi|Không Biết
Một hành trang bao gồm bao nhiêu ô?|24|20|26
Tìm được Vật Phẩm Sứ Mệnh thì giao cho người nào để nhận thưởng?|Vệ Đội Tưởng|Lão Thôn Trưởng|Lý Đại Bá
Khi trang bị hết độ bền, ta cần tìm ai để sữa chữa?|Chủ Tiệm Sữa Chữa|Chủ Tiệm Vũ Khí|Chủ Tiệm Y Phục
Chỗ nào không thể tìm được Vật Phẩm Sứ Mệnh?|Chu Quốc|U Cốc|Tân Thủ Thôn
Chủ Tiệm Y Dược bán loại vật phẩm nào sau đây?|Hoạt Lạc Hoàn|Hoạt Tâm Đan|Cấp Cứu Đan
